Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Latest Year,"CO2 emissions, latest year
1000 t",% change since 1990
124,Canada,462117.35,452494.72,467037.42,467406.41,482436.58,494920.25,510736.66,524789.17,533639.79,549553.21,572162.1,564946.4,570844.78,587178.15,585703.1,576434.46,570950.38,594220.57,575586.91,542549.6,555549.85,566740.99,569737.01,576327.01,575942.18,575906.94,564032.53,572834.39,586504.63,586504.63,2018,586504.63,26.92
140,Central African Republic,212,212,212,212,212,212,212,212,212,212,212,212,212,180.46,193.34,207.36,214.71,232.21,235.91,232.95,252.59,252.59,252.59,252.59,252.59,252.59,252.59,252.59,252.59,252.59,2010,252.59,19.15
148,Chad,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,334.6,358.58,304.99,368.59,452.77,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,4054.6,2003,4054.6,1209.41
152,Chile,33289.7,33289.7,33289.7,34963.9,38485.8,38485.8,38485.8,38485.8,38485.8,38485.8,54750.5,54750.5,54750.5,54750.5,54750.5,54750.5,60056.66,60056.66,60056.66,60056.66,69667,69667,69667,80498.4,80498.4,80498.4,87444,87444,87444,87444,2016,87444,162.68
156,China,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,3073470,6381000,6381000,6381000,6381000,6381000,8707376,8707376,9893257,9893257,10274851,10274851,10274851,10274851,10274851,10274851,2014,10274851,234.31
170,Colombia,49706.5,49706.5,49706.5,49706.5,60917.3,60917.3,60917.3,60917.3,60917.3,60917.3,63813.83,63813.83,63813.83,63813.83,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,63907.28,2004,63907.28,28.57
174,Comoros,70.52,70.52,70.52,70.52,70.52,70.52,70.52,70.52,70.52,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,82.42,2000,82.42,16.87
178,Congo,673.7,673.7,673.7,673.7,673.7,673.7,673.7,673.7,673.7,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,1292.15,2000,1292.15,91.8
184,Cook Islands,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,1994,32.56,0
188,Costa Rica,2749.3,2749.3,2749.3,2749.3,2749.3,2749.3,4554.7,4554.7,4554.7,4554.7,5104.67,5104.67,5104.67,5104.67,5104.67,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,5989.1,2005,5989.1,117.84
384,Côte d’Ivoire,4345.77,4345.77,4345.77,4345.77,4345.77,4345.77,4345.77,4345.77,4345.77,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,60372.31,2000,60372.31,1289.22
191,Croatia,23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65,17718.65,2018,17718.65,-24.05
192,Cuba,33899.58,33899.58,21598.81,21598.81,22193.47,22193.47,26382.13,26382.13,27973.77,27973.77,26586.22,26586.22,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,24892.95,2002,24892.95,-26.57
196,Cyprus,4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76,7332.76,2018,7332.76,57.46
203,Czechia,164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21,104411.21,2018,104411.21,-36.41
408,Democratic People's Republic of Korea,178713,178713,178713,178713,133349,133349,133349,133349,133349,133349,68740,68740,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,73779,2002,73779,-58.72
180,Democratic Republic of the Congo,1447.71,1447.71,1447.71,1447.71,1447.71,1447.71,1447.71,1447.71,1447.71,2488,2644.2,2793,2651,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2003,2645,82.7
208,Denmark,54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,36246.2,2018,36246.2,-33.91
262,Djibouti,274.15,274.15,274.15,274.15,274.15,274.15,274.15,274.15,274.15,274.15,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,342.02,2000,342.02,24.76
212,Dominica,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,105.8,117.92,113.27,111.08,110.89,119.06,122,128.46,122.45,133.78,141.55,149.81,158.9,161.03,167.24,170.15,169.84,156.85,156.85,156.85,2017,156.85,104.95
214,Dominican Republic,8762.93,8762.93,8762.93,8762.93,15003.05,15003.05,15003.05,15003.05,16423.85,16423.85,18416.75,18416.75,18416.75,18416.75,18416.75,18416.75,18416.75,18416.75,18416.75,18416.75,12572.41,12572.41,12572.41,12572.41,12572.41,12572.41,12572.41,12572.41,12572.41,12572.41,2010,12572.41,43.47
218,Ecuador,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,14252.93,37473.91,37473.91,41084.46,41084.46,41084.46,41084.46,41084.46,41084.46,41084.46,41084.46,2012,41084.46,188.25
818,Egypt,84235,84235,84235,84235,84235,84235,84235,84235,84235,84235,128227.95,128227.95,128227.95,128227.95,128227.95,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,169249.7,2005,169249.7,100.93
222,El Salvador,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,4514.65,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,6062.27,2005,6062.27,34.28
232,Eritrea,719.79,719.79,719.79,719.79,719.79,752.02,827.84,732.25,576.1,615.25,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,621,2000,621,-13.72
233,Estonia,36907.24,33901.77,24370.46,18910.36,19734.05,18048.83,18759.52,18317.28,16817.25,15653.35,15244.19,15576.73,15090.49,16937.23,17201.01,16921.62,16208.81,19838.56,17668.12,14339.01,18784.96,18855.12,17684.98,19551.95,18755.95,15813.4,17377.65,18635.87,17710.95,17710.95,2018,17710.95,-52.01
748,Eswatini,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,873.87,1994,873.87,0
231,Ethiopia,2307,1879,2073,2401,2359.14,2238.27,2457.35,2895.98,2995.43,3164.82,3437.9,4250.98,4464.75,5027.51,5289.29,6589.51,6352.01,9066.91,8339.15,9004.12,11134.35,9522.03,9655.41,10143.08,10143.08,10143.08,10143.08,10143.08,10143.08,10143.08,2013,10143.08,339.67
242,Fiji,821,821,821,821,821,821,821,821,821,821,821,821,821,821,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,1566.57,2004,1566.57,90.81
246,Finland,56971.87,55230.4,54285.53,56352.55,61716.2,58145.44,64062.41,62722.99,59373.26,58894.77,57038.25,62536.21,65059.79,72657.82,68960.75,57042.9,68384.42,66760.3,58609.62,55924.37,64099.45,56665.65,51222.15,51750.96,47643.86,44113.71,47227.55,44673.06,45849.35,45849.35,2018,45849.35,-19.52
250,France,403307.24,428927.11,418231.02,397655.36,393368.86,400239.12,415941.02,408989.96,428344.36,424600.51,419232.28,424005.85,419347.5,426145.7,427117.58,430528.28,419737.02,409033.41,401422.87,385421.58,393717.82,367051.08,368311.77,370548.99,339492.92,344096.98,347095.62,352178.98,338327.1,338327.1,2018,338327.1,-16.11
266,Gabon,4407.74,4407.74,4407.74,4407.74,4407.74,4407.74,4407.74,4407.74,4407.74,4407.74,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,5157.27,2000,5157.27,17
270,Gambia,181.06,181.06,181.06,181.06,181.06,181.06,181.06,181.06,181.06,181.06,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,218.77,2000,218.77,20.83
268,Georgia,35520,28131.8,17119.4,9775.3,6525.8,4560.4,7491.1,8480,8480,8480,3705.2,3875,3681,3931,4844,5045,6233,7160,7062,6562,6634.73,9151.01,9786.39,9478.16,9478.16,9478.16,9478.16,9478.16,9478.16,9478.16,2013,9478.16,-73.32
276,Germany,1052348.54,1014199.72,965889.81,956233.11,939630.28,939176.7,959124.13,931230.07,923275.91,895642.93,899780.2,916366.14,899821.05,900866.41,886965.97,866388.55,877997.39,851383.3,854706.33,790195.72,832669.74,809426.95,813893.12,831316.28,792684.87,795816.36,800510.29,786654.55,755362.34,755362.34,2018,755362.34,-28.22
288,Ghana,2861.8,2377.12,2897.7,3123.85,3243.03,3556.74,3844.07,3977.84,4364.21,4925.45,6297.67,5585.01,5965.42,6410.85,5789.37,6431.14,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,7847.2,2006,7847.2,174.21
300,Greece,83425.55,83401.12,84982.71,84296.37,86442.18,86979.1,89132.01,93820.93,98641.5,97958.38,102999.03,105385.7,105020.96,109089.75,109546.75,113930.97,112472.44,114592.34,111125.24,104354.75,97361.5,94549.58,91430.1,81735.05,78659.8,74957.9,71368.36,74852.85,71797.87,71797.87,2018,71797.87,-13.94
308,Grenada,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,1994,135,0
320,Guatemala,4245.07,4245.07,4245.07,4245.07,10116.47,10116.47,10116.47,10116.47,10116.47,10116.47,10578.65,10578.65,10578.65,10578.65,10578.65,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,12553.74,2005,12553.74,195.73
324,Guinea,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1580.49,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,2000,1960,24.01
624,Guinea-Bissau,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,178.61,156.81,156.81,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2450.67,2010,2450.67,1272.08
328,Guyana,1439,1439,1439,1439,1439,1465,1534,1680,1769,1718,1688,2094,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,2004,1657,15.15
332,Haiti,189.1,189.1,189.1,189.1,189.1,923.69,1050.91,1310.79,1347.44,1545.77,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,1447.66,2000,1447.66,665.55
340,Honduras,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4085.25,4162.45,4162.45,4162.45,4162.45,4162.45,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,7201.8,9902.61,9902.61,9902.61,9902.61,9902.61,2015,9902.61,142.4
348,Hungary,73464.85,69784.52,62415.94,63632.76,61973.51,61690.77,63257.52,61813.14,61415,61911.6,58608.27,60238.8,59197,61981.47,60489.92,60606.53,59915.38,58688.63,57530.82,51774.97,52123.68,50322.15,46776.68,43704.81,43862.71,46627.61,47395.71,49684.85,49628.49,49628.49,2018,49628.49,-32.45
352,Iceland,2247.8,2128.41,2274.27,2432.16,2373.3,2476.7,2532.04,2627.51,2647.86,2853.95,2946.47,2875.24,3000.52,2994.55,3116.89,2985.97,3164.4,3512.1,3824.94,3740.18,3660.12,3510.64,3502.89,3492.77,3469.68,3545.26,3497.54,3614.87,3674.53,3674.53,2018,3674.53,63.47
356,India,779348,779348,779348,779348,779348,779348,779348,779348,779348,779348,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1024772.86,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,1574362.16,2010,1574362.16,102.01
360,Indonesia,142688.19,155100.4,165505.55,175681.85,189146.31,189146.31,189146.31,189146.31,189146.31,189146.31,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,289527.15,2000,289527.15,102.91
364,Iran (Islamic Republic of),310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,310645.33,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,365908.35,2000,365908.35,17.79
